nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
         1, 4.914900059E-03, 9.868704101E-13, 2.848311178E-02, 1.000377562E+07
         2, 4.914182617E-03, 6.519803216E-05, 2.848311238E-02, 1.000372778E+07
         3, 4.912939360E-03, 1.303881562E-04, 2.848311238E-02, 1.000360581E+07
         4, 4.910794334E-03, 1.955548416E-04, 2.848311238E-02, 1.000340874E+07
         5, 4.907605529E-03, 2.606787965E-04, 2.848311238E-02, 1.000315868E+07
         6, 4.903894535E-03, 3.257750830E-04, 2.848311238E-02, 1.000286721E+07
         7, 4.898927311E-03, 3.907875794E-04, 2.848311238E-02, 1.000254922E+07
         8, 4.893182877E-03, 4.557360162E-04, 2.848311237E-02, 1.000228173E+07
         9, 4.877519222E-03, 5.999998769E-04, 2.848311238E-02, 1.000193660E+07
        10, 4.857642270E-03, 7.437438111E-04, 2.848311238E-02, 1.000219509E+07
        11, 4.833572115E-03, 8.868453123E-04, 2.848311238E-02, 1.000307529E+07
        12, 4.805486510E-03, 1.029213184E-03, 2.848311238E-02, 1.000453346E+07
        13, 4.773198938E-03, 1.170687296E-03, 2.848311238E-02, 1.000545635E+07
        14, 4.736704256E-03, 1.311134969E-03, 2.848311238E-02, 1.000307605E+07
        15, 4.695319132E-03, 1.450220133E-03, 2.848311238E-02, 9.998227260E+06
        16, 4.650625024E-03, 1.588277544E-03, 2.848311238E-02, 9.994990328E+06
        17, 4.601984990E-03, 1.724994624E-03, 2.848311238E-02, 9.995914199E+06
        18, 4.548868003E-03, 1.860035359E-03, 2.848311238E-02, 1.000184956E+07
        19, 4.491693849E-03, 1.993408996E-03, 2.848311238E-02, 1.001260501E+07
        20, 4.430759290E-03, 2.125107099E-03, 2.848311238E-02, 1.002994020E+07
        21, 4.366095668E-03, 2.255014863E-03, 2.848311237E-02, 1.004908381E+07
        22, 4.338623040E-03, 2.308118445E-03, 2.848311238E-02, 1.005583883E+07
        23, 4.310229040E-03, 2.360735138E-03, 2.848311238E-02, 1.006044495E+07
        24, 4.280974708E-03, 2.412878400E-03, 2.848311238E-02, 1.006313528E+07
        25, 4.251720376E-03, 2.465021662E-03, 2.848311238E-02, 1.006370766E+07
        26, 4.221173288E-03, 2.516418267E-03, 2.848311238E-02, 1.006257943E+07
        27, 4.190172006E-03, 2.567542197E-03, 2.848311238E-02, 1.005955211E+07
        28, 4.159170725E-03, 2.618666127E-03, 2.848311237E-02, 1.005480469E+07
        29, 4.126649488E-03, 2.668488340E-03, 2.848311238E-02, 1.004849732E+07
        30, 4.094106039E-03, 2.718296046E-03, 2.848311238E-02, 1.004097664E+07
        31, 4.061152799E-03, 2.767833583E-03, 2.848311238E-02, 1.003275084E+07
        32, 4.026979682E-03, 2.816537605E-03, 2.848311238E-02, 1.002454222E+07
        33, 3.992806565E-03, 2.865241628E-03, 2.848311238E-02, 1.001677933E+07
        34, 3.957781052E-03, 2.913336296E-03, 2.848311238E-02, 1.001013339E+07
        35, 3.922038282E-03, 2.960900338E-03, 2.848311237E-02, 1.000498791E+07
        36, 3.845670236E-03, 3.059482480E-03, 2.848311238E-02, 9.997975554E+06
        37, 3.767000888E-03, 3.156238103E-03, 2.848311238E-02, 9.994366754E+06
        38, 3.685869593E-03, 3.250938847E-03, 2.848311238E-02, 9.995208676E+06
        39, 3.601978248E-03, 3.343203469E-03, 2.848311238E-02, 9.998853436E+06
        40, 3.515915910E-03, 3.433446428E-03, 2.848311238E-02, 1.000319254E+07
        41, 3.427700783E-03, 3.521586138E-03, 2.848311238E-02, 1.000546498E+07
        42, 3.337499914E-03, 3.607692585E-03, 2.848311238E-02, 1.000482742E+07
        43, 3.244931682E-03, 3.691248798E-03, 2.848311238E-02, 1.000341977E+07
        44, 3.149836708E-03, 3.771917649E-03, 2.848311238E-02, 1.000230660E+07
        45, 3.053366028E-03, 3.850936161E-03, 2.848311238E-02, 1.000149755E+07
        46, 2.954683343E-03, 3.927174244E-03, 2.848311238E-02, 1.000139878E+07
        47, 2.854116691E-03, 4.000909351E-03, 2.848311238E-02, 1.000182691E+07
        48, 2.751735348E-03, 4.072103297E-03, 2.848311237E-02, 1.000249778E+07
        49, 2.710386853E-03, 4.099523917E-03, 2.848311238E-02, 1.000281116E+07
        50, 2.668701340E-03, 4.126429425E-03, 2.848311238E-02, 1.000314350E+07
        51, 2.627015827E-03, 4.153334934E-03, 2.848311238E-02, 1.000347588E+07
        52, 2.585110857E-03, 4.179897348E-03, 2.848311238E-02, 1.000377360E+07
        53, 2.542557258E-03, 4.205407730E-03, 2.848311238E-02, 1.000402357E+07
        54, 2.500003659E-03, 4.230918112E-03, 2.848311238E-02, 1.000419301E+07
        55, 2.457450030E-03, 4.256428444E-03, 2.848311178E-02, 1.000425412E+07
        56, 4.859175843E-03, 6.177665494E-21, 2.850164640E-02, 1.000271803E+07
        57, 4.858490284E-03, 6.444542944E-05, 2.850193506E-02, 1.000269112E+07
        58, 4.857213452E-03, 1.288827861E-04, 2.850196817E-02, 1.000261182E+07
        59, 4.855095180E-03, 1.932984960E-04, 2.850208344E-02, 1.000246586E+07
        60, 4.851896987E-03, 2.576694316E-04, 2.850197365E-02, 1.000227322E+07
        61, 4.848249099E-03, 3.220156593E-04, 2.850202080E-02, 1.000204547E+07
        62, 4.843392374E-03, 3.862811309E-04, 2.850207376E-02, 1.000179138E+07
        63, 4.837749878E-03, 4.504814555E-04, 2.850200925E-02, 1.000156413E+07
        64, 2.429634725E-03, 4.208250788E-03, 2.850200333E-02, 1.000329636E+07
        65, 4.821313371E-03, 5.928890601E-04, 2.850241914E-02, 1.000123339E+07
        66, 4.801071333E-03, 7.348576578E-04, 2.850279158E-02, 1.000139314E+07
        67, 4.776952257E-03, 8.762495645E-04, 2.850314821E-02, 1.000225482E+07
        68, 4.748912679E-03, 1.016923763E-03, 2.850312817E-02, 1.000385171E+07
        69, 4.716854289E-03, 1.156750624E-03, 2.850315200E-02, 1.000541264E+07
        70, 4.680731572E-03, 1.295585156E-03, 2.850323338E-02, 1.000402274E+07
        71, 4.639945514E-03, 1.433121517E-03, 2.850359267E-02, 9.999209165E+06
        72, 4.595836621E-03, 1.569619627E-03, 2.850374184E-02, 9.994874134E+06
        73, 4.317037902E-03, 2.229637590E-03, 2.850365254E-02, 1.005218543E+07
        74, 4.547875717E-03, 1.704816758E-03, 2.850379748E-02, 9.994690669E+06
        75, 4.495600207E-03, 1.838393704E-03, 2.850380197E-02, 1.000041127E+07
        76, 4.289781096E-03, 2.282011422E-03, 2.850370577E-02, 1.005999192E+07
        77, 4.439510276E-03, 1.970382313E-03, 2.850384746E-02, 1.001183579E+07
        78, 4.379934958E-03, 2.100813583E-03, 2.850381604E-02, 1.003084319E+07
        79, 4.261748658E-03, 2.334063905E-03, 2.850394859E-02, 1.006519259E+07
        80, 4.232807056E-03, 2.385632617E-03, 2.850395171E-02, 1.006827819E+07
        81, 4.203867014E-03, 2.437196407E-03, 2.850395471E-02, 1.006896629E+07
        82, 4.173763907E-03, 2.488086422E-03, 2.850419078E-02, 1.006762435E+07
        83, 4.143147052E-03, 2.538669218E-03, 2.850417219E-02, 1.006414022E+07
        84, 4.112693504E-03, 2.589209941E-03, 2.850410817E-02, 1.005873457E+07
        85, 4.080531144E-03, 2.638339753E-03, 2.850444218E-02, 1.005151886E+07
        86, 4.048283024E-03, 2.687585451E-03, 2.850446554E-02, 1.004296919E+07
        87, 4.015699233E-03, 2.736621069E-03, 2.850464219E-02, 1.003366729E+07
        88, 3.981920867E-03, 2.784836212E-03, 2.850476112E-02, 1.002447979E+07
        89, 3.948100964E-03, 2.833024030E-03, 2.850476332E-02, 1.001592918E+07
        90, 3.913575418E-03, 2.880689565E-03, 2.850504365E-02, 1.000875451E+07
        91, 3.878499652E-03, 2.927737128E-03, 2.850495429E-02, 1.000334496E+07
        92, 3.802439704E-03, 3.024757989E-03, 2.850560294E-02, 9.996404866E+06
        93, 3.724367657E-03, 3.120190010E-03, 2.850605442E-02, 9.993473274E+06
        94, 3.643929345E-03, 3.213696434E-03, 2.850624113E-02, 9.995533059E+06
        95, 2.472487313E-03, 4.184397285E-03, 2.850637324E-02, 1.000330813E+07
        96, 3.560965486E-03, 3.304938741E-03, 2.850661962E-02, 1.000004399E+07
        97, 3.475881923E-03, 3.394261869E-03, 2.850697303E-02, 1.000430414E+07
        98, 3.388707932E-03, 3.481546084E-03, 2.850732362E-02, 1.000564943E+07
        99, 3.299569889E-03, 3.566793495E-03, 2.850758751E-02, 1.000432041E+07
       100, 3.208091961E-03, 3.649547267E-03, 2.850773143E-02, 1.000271675E+07
       101, 2.514878085E-03, 4.159625544E-03, 2.850769417E-02, 1.000328536E+07
       102, 2.557084861E-03, 4.134466290E-03, 2.850791867E-02, 1.000318140E+07
       103, 3.114251370E-03, 3.729609277E-03, 2.850814909E-02, 1.000163174E+07
       104, 3.018997312E-03, 3.807941907E-03, 2.850822015E-02, 1.000109539E+07
       105, 2.722052631E-03, 4.028325614E-03, 2.850817599E-02, 1.000228238E+07
       106, 2.921675816E-03, 3.883697978E-03, 2.850834617E-02, 1.000121094E+07
