nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
         1, 7.069022991E-03, 1.512000041E-12, 5.994400309E-03, 9.999611807E+06
         2, 7.067266021E-03, 8.793642179E-05, 5.994400285E-03, 9.999607791E+06
         3, 7.065509120E-03, 1.758728435E-04, 5.994400285E-03, 9.999607422E+06
         4, 7.063752219E-03, 2.638092651E-04, 5.994400285E-03, 9.999606448E+06
         5, 7.059261814E-03, 3.516485336E-04, 5.994400285E-03, 9.999606700E+06
         6, 7.053997645E-03, 4.394448293E-04, 5.994400285E-03, 9.999607288E+06
         7, 7.048733476E-03, 5.272411247E-04, 5.994400285E-03, 9.999608542E+06
         8, 7.041462517E-03, 6.148940424E-04, 5.994400285E-03, 9.999604044E+06
         9, 7.022603200E-03, 8.034811094E-04, 5.994400285E-03, 9.999593759E+06
        10, 6.997871558E-03, 9.913882667E-04, 5.994400285E-03, 9.999594110E+06
        11, 6.969235176E-03, 1.178740109E-03, 5.994400285E-03, 9.999595056E+06
        12, 6.935518659E-03, 1.365244682E-03, 5.994400285E-03, 9.999594774E+06
        13, 6.895624959E-03, 1.550526204E-03, 5.994400285E-03, 9.999593661E+06
        14, 6.851839587E-03, 1.734926844E-03, 5.994400285E-03, 9.999590321E+06
        15, 6.803570431E-03, 1.918204903E-03, 5.994400285E-03, 9.999585336E+06
        16, 6.749699322E-03, 2.099915271E-03, 5.994400285E-03, 9.999580751E+06
        17, 6.690626915E-03, 2.280001936E-03, 5.994400285E-03, 9.999577638E+06
        18, 6.627063513E-03, 2.458552908E-03, 5.994400285E-03, 9.999579577E+06
        19, 6.558740582E-03, 2.635337332E-03, 5.994400285E-03, 9.999591409E+06
        20, 6.485709237E-03, 2.810229236E-03, 5.994400285E-03, 9.999611432E+06
        21, 6.408023646E-03, 2.983104060E-03, 5.994400285E-03, 9.999650318E+06
        22, 6.370444505E-03, 3.063367047E-03, 5.994400285E-03, 9.999671319E+06
        23, 6.331184724E-03, 3.142821490E-03, 5.994400285E-03, 9.999677722E+06
        24, 6.291677609E-03, 3.222153242E-03, 5.994400285E-03, 9.999682090E+06
        25, 6.250375450E-03, 3.300565426E-03, 5.994400285E-03, 9.999691494E+06
        26, 6.208963163E-03, 3.378919504E-03, 5.994400285E-03, 9.999702281E+06
        27, 6.165646943E-03, 3.456237317E-03, 5.994400285E-03, 9.999699324E+06
        28, 6.122330724E-03, 3.533555129E-03, 5.994400285E-03, 9.999692284E+06
        29, 6.077194727E-03, 3.609500847E-03, 5.994400285E-03, 9.999689714E+06
        30, 6.032036125E-03, 3.685433126E-03, 5.994400285E-03, 9.999684708E+06
        31, 5.985091027E-03, 3.760274078E-03, 5.994400285E-03, 9.999677337E+06
        32, 5.937983790E-03, 3.835013080E-03, 5.994400285E-03, 9.999669413E+06
        33, 5.889256624E-03, 3.908706184E-03, 5.994400285E-03, 9.999660694E+06
        34, 5.840231626E-03, 3.982201488E-03, 5.994400285E-03, 9.999652768E+06
        35, 5.789750705E-03, 4.054704501E-03, 5.994400285E-03, 9.999635912E+06
        36, 5.678951004E-03, 4.208496333E-03, 5.994400285E-03, 9.999607953E+06
        37, 5.564074937E-03, 4.359267653E-03, 5.994400285E-03, 9.999594794E+06
        38, 5.445203263E-03, 4.506909201E-03, 5.994400285E-03, 9.999587383E+06
        39, 5.322419499E-03, 4.651313662E-03, 5.994400285E-03, 9.999587684E+06
        40, 5.196048505E-03, 4.792589542E-03, 5.994400285E-03, 9.999589843E+06
        41, 5.065741632E-03, 4.930243524E-03, 5.994400285E-03, 9.999592608E+06
        42, 4.931138244E-03, 5.063699254E-03, 5.994400285E-03, 9.999595349E+06
        43, 4.793423825E-03, 5.193942255E-03, 5.994400285E-03, 9.999596438E+06
        44, 4.652997632E-03, 5.321256747E-03, 5.994400285E-03, 9.999595963E+06
        45, 4.508322599E-03, 5.443721597E-03, 5.994400285E-03, 9.999595320E+06
        46, 4.360466679E-03, 5.562326522E-03, 5.994400285E-03, 9.999593173E+06
        47, 4.210174354E-03, 5.677828541E-03, 5.994400285E-03, 9.999591291E+06
        48, 4.056266233E-03, 5.788466653E-03, 5.994400285E-03, 9.999598523E+06
        49, 3.983632538E-03, 5.839004607E-03, 5.994400285E-03, 9.999602383E+06
        50, 3.909786956E-03, 5.887754669E-03, 5.994400285E-03, 9.999602438E+06
        51, 3.835941374E-03, 5.936504731E-03, 5.994400285E-03, 9.999602249E+06
        52, 3.761706284E-03, 5.984659584E-03, 5.994400285E-03, 9.999601693E+06
        53, 3.685974376E-03, 6.030424381E-03, 5.994400285E-03, 9.999602652E+06
        54, 3.610242468E-03, 6.076189178E-03, 5.994400285E-03, 9.999602982E+06
        55, 3.534535814E-03, 6.121995740E-03, 5.994400309E-03, 9.999606362E+06
        56, 7.060204644E-03, 1.511800675E-12, 6.185647385E-03, 9.999507958E+06
        57, 7.058549481E-03, 8.782112885E-05, 6.185651934E-03, 9.999508085E+06
        58, 7.056894228E-03, 1.756422542E-04, 6.185656546E-03, 9.999508283E+06
        59, 7.055238846E-03, 2.634701455E-04, 6.185661195E-03, 9.999508437E+06
        60, 7.050356692E-03, 3.511803680E-04, 6.185642701E-03, 9.999508609E+06
        61, 7.045377838E-03, 4.388784984E-04, 6.185655751E-03, 9.999508879E+06
        62, 7.040398528E-03, 5.265846221E-04, 6.185668881E-03, 9.999509078E+06
        63, 7.032361898E-03, 6.140673815E-04, 6.185632473E-03, 9.999509467E+06
        64, 7.014419012E-03, 8.025296971E-04, 6.185674582E-03, 9.999511103E+06
        65, 6.989281669E-03, 9.901690284E-04, 6.185654016E-03, 9.999513227E+06
        66, 6.960092158E-03, 1.177203248E-03, 6.185626221E-03, 9.999516591E+06
        67, 6.926930761E-03, 1.363572399E-03, 6.185650518E-03, 9.999522048E+06
        68, 6.887218617E-03, 1.548661248E-03, 6.185656812E-03, 9.999528333E+06
        69, 6.842897531E-03, 1.732693008E-03, 6.185628712E-03, 9.999534739E+06
        70, 6.795048970E-03, 1.915833920E-03, 6.185645914E-03, 9.999540500E+06
        71, 6.741148813E-03, 2.097286287E-03, 6.185641259E-03, 9.999543597E+06
        72, 6.682319428E-03, 2.277199591E-03, 6.185649419E-03, 9.999542639E+06
        73, 6.619014808E-03, 2.455590453E-03, 6.185658160E-03, 9.999536052E+06
        74, 6.550787412E-03, 2.632157473E-03, 6.185658685E-03, 9.999523652E+06
        75, 6.477849595E-03, 2.806829061E-03, 6.185658803E-03, 9.999507863E+06
        76, 6.400254192E-03, 2.979479408E-03, 6.185658436E-03, 9.999493626E+06
        77, 6.362612332E-03, 3.059592732E-03, 6.185652960E-03, 9.999487003E+06
        78, 6.323478095E-03, 3.138988053E-03, 6.185656876E-03, 9.999482778E+06
        79, 6.283947288E-03, 3.218187061E-03, 6.185653211E-03, 9.999479436E+06
        80, 6.242734732E-03, 3.296524475E-03, 6.185655222E-03, 9.999476952E+06
        81, 6.201336466E-03, 3.374764321E-03, 6.185653350E-03, 9.999475214E+06
        82, 6.158075654E-03, 3.451990334E-03, 6.185653492E-03, 9.999475259E+06
        83, 6.114813091E-03, 3.529215857E-03, 6.185653555E-03, 9.999476416E+06
        84, 6.069731712E-03, 3.605066366E-03, 6.185653502E-03, 9.999478042E+06
        85, 6.024627415E-03, 3.680902751E-03, 6.185653405E-03, 9.999480403E+06
        86, 5.977776283E-03, 3.755672118E-03, 6.185655318E-03, 9.999483554E+06
        87, 5.930690759E-03, 3.830293662E-03, 6.185653307E-03, 9.999487382E+06
        88, 5.882093672E-03, 3.903939336E-03, 6.185657066E-03, 9.999492240E+06
        89, 5.833059014E-03, 3.977293983E-03, 6.185653154E-03, 9.999497698E+06
        90, 5.782743131E-03, 4.049775447E-03, 6.185658753E-03, 9.999505310E+06
        91, 5.672093322E-03, 4.203379556E-03, 6.185659210E-03, 9.999520518E+06
        92, 5.557361778E-03, 4.353962338E-03, 6.185659179E-03, 9.999536861E+06
        93, 5.438630923E-03, 4.501414990E-03, 6.185658733E-03, 9.999548437E+06
        94, 5.315865180E-03, 4.645525369E-03, 6.185650595E-03, 9.999553552E+06
        95, 5.189522652E-03, 4.786506900E-03, 6.185642512E-03, 9.999553600E+06
        96, 5.059372395E-03, 4.923980308E-03, 6.185642004E-03, 9.999549763E+06
        97, 4.924757618E-03, 5.057084592E-03, 6.185630062E-03, 9.999543681E+06
        98, 4.787629675E-03, 5.187608427E-03, 6.185658151E-03, 9.999537531E+06
        99, 4.647179570E-03, 5.314558358E-03, 6.185644910E-03, 9.999531954E+06
       100, 4.502440399E-03, 5.436587612E-03, 6.185627494E-03, 9.999527340E+06
       101, 4.355133458E-03, 5.555511474E-03, 6.185655126E-03, 9.999524406E+06
       102, 4.205215699E-03, 5.671152485E-03, 6.185671026E-03, 9.999522405E+06
       103, 4.051012478E-03, 5.781011593E-03, 6.185633355E-03, 9.999521119E+06
       104, 3.978905334E-03, 5.832121127E-03, 6.185669405E-03, 9.999520954E+06
       105, 3.904993951E-03, 5.880578304E-03, 6.185656205E-03, 9.999520856E+06
       106, 3.831089722E-03, 5.929030788E-03, 6.185643067E-03, 9.999520690E+06
       107, 3.757159250E-03, 5.977456505E-03, 6.185661347E-03, 9.999520613E+06
       108, 3.681469429E-03, 6.023079010E-03, 6.185656653E-03, 9.999520507E+06
       109, 3.605785891E-03, 6.068697731E-03, 6.185651987E-03, 9.999520380E+06
       110, 3.530102371E-03, 6.114316671E-03, 6.185645170E-03, 9.999520314E+06
       111, 7.051386370E-03, 1.511800685E-12, 6.376894465E-03, 9.999513922E+06
       112, 7.049733359E-03, 8.770775397E-05, 6.376898980E-03, 9.999513944E+06
       113, 7.048080245E-03, 1.754155041E-04, 6.376903534E-03, 9.999513967E+06
       114, 7.046427004E-03, 2.631300117E-04, 6.376908090E-03, 9.999513993E+06
       115, 7.041551570E-03, 3.507268962E-04, 6.376889734E-03, 9.999514000E+06
       116, 7.036579151E-03, 4.383118588E-04, 6.376902563E-03, 9.999514020E+06
       117, 7.031606279E-03, 5.259048014E-04, 6.376915393E-03, 9.999514048E+06
       118, 7.023580882E-03, 6.132744692E-04, 6.376879555E-03, 9.999514196E+06
       119, 7.005660215E-03, 8.015037234E-04, 6.376920989E-03, 9.999514871E+06
       120, 6.980554816E-03, 9.889112761E-04, 6.376900841E-03, 9.999516017E+06
       121, 6.951402141E-03, 1.175714486E-03, 6.376873443E-03, 9.999518071E+06
       122, 6.918282383E-03, 1.361853329E-03, 6.376897525E-03, 9.999521453E+06
       123, 6.878619321E-03, 1.546713379E-03, 6.376903782E-03, 9.999525619E+06
       124, 6.834353505E-03, 1.730517841E-03, 6.376875855E-03, 9.999529902E+06
       125, 6.786564362E-03, 1.913432401E-03, 6.376892996E-03, 9.999533562E+06
       126, 6.732730956E-03, 2.094660525E-03, 6.376888322E-03, 9.999535248E+06
       127, 6.673974439E-03, 2.274351463E-03, 6.376896481E-03, 9.999534605E+06
       128, 6.610748158E-03, 2.452521821E-03, 6.376905254E-03, 9.999530905E+06
       129, 6.542605108E-03, 2.628870585E-03, 6.376905779E-03, 9.999523708E+06
       130, 6.469757425E-03, 2.803326248E-03, 6.376905887E-03, 9.999514193E+06
       131, 6.392257822E-03, 2.975763127E-03, 6.376905492E-03, 9.999505658E+06
       132, 6.354662330E-03, 3.055777372E-03, 6.376899959E-03, 9.999501722E+06
       133, 6.315576447E-03, 3.135074587E-03, 6.376903932E-03, 9.999499038E+06
       134, 6.276089372E-03, 3.214173097E-03, 6.376899983E-03, 9.999497111E+06
       135, 6.234932656E-03, 3.292416229E-03, 6.376902277E-03, 9.999496031E+06
       136, 6.193581861E-03, 3.370557384E-03, 6.376900217E-03, 9.999495477E+06
       137, 6.150377952E-03, 3.447689842E-03, 6.376900548E-03, 9.999495639E+06
       138, 6.107168850E-03, 3.524819934E-03, 6.376900618E-03, 9.999496258E+06
       139, 6.062144982E-03, 3.600572977E-03, 6.376900558E-03, 9.999497330E+06
       140, 6.017095189E-03, 3.676310054E-03, 6.376900271E-03, 9.999498774E+06
       141, 5.970307306E-03, 3.750985447E-03, 6.376902372E-03, 9.999500732E+06
       142, 5.923279862E-03, 3.825509797E-03, 6.376900205E-03, 9.999503135E+06
       143, 5.874747378E-03, 3.899062473E-03, 6.376904120E-03, 9.999506281E+06
       144, 5.825775607E-03, 3.972323047E-03, 6.376900151E-03, 9.999509955E+06
       145, 5.775524369E-03, 4.044711613E-03, 6.376905808E-03, 9.999514686E+06
       146, 5.665011393E-03, 4.198126033E-03, 6.376906294E-03, 9.999524085E+06
       147, 5.550421644E-03, 4.348522802E-03, 6.376906274E-03, 9.999534047E+06
       148, 5.431837489E-03, 4.495793281E-03, 6.376905829E-03, 9.999540688E+06
       149, 5.309223400E-03, 4.639725566E-03, 6.376897658E-03, 9.999543590E+06
       150, 5.183036894E-03, 4.780532821E-03, 6.376889571E-03, 9.999543756E+06
       151, 5.053047321E-03, 4.917836273E-03, 6.376889089E-03, 9.999541638E+06
       152, 4.918598697E-03, 5.050775906E-03, 6.376877190E-03, 9.999537832E+06
       153, 4.781639788E-03, 5.181138169E-03, 6.376905124E-03, 9.999533691E+06
       154, 4.641363222E-03, 5.307931235E-03, 6.376891977E-03, 9.999529887E+06
